10733973	369	凰天魔衣+1
10732188	414	乾坤法带+1
10723954	368	凤天魔甲+2
10729363	415	乾坤法靴+1
10735008	378	镇天+1
10735609	413	乾坤法章+1
10731190	426	无极道带+1
10736537	410	乾坤法链+1
10733169	411	乾坤法镯+1
10740926	454	天龙道剑+2
10745159	440	天龙战石+2
10744783	436	天龙战戒+3
10738697	421	无极道盔+1
10747493	425	无极道章+1
10747815	428	无极道石+1
10740942	416	乾坤法石+1
10750249	424	无极道戒+1
10748311	399	天地战镯+1
10748312	399	天地战镯+1
10748315	402	天地战带+1
10748309	397	天地战盔+1
10748313	400	天地战戒+1
10749745	368	凤天魔甲+1
10748317	404	天地战石+1
10748308	401	天地战章+1
10750250	424	无极道戒+2
10751168	385	玄天+1
10748316	403	天地战靴+1
10748310	398	天地战链+1
10748393	418	无极道剑+3
10752077	366	光芒道靴+2
10752434	397	天地战盔+1
10752426	401	天地战章+4
10753881	101	屠龙+2
10753840	424	无极道戒+1
10753837	422	无极道链+1
10753874	452	天龙法石+1
10753843	426	无极道带+1
10753835	425	无极道章+1
10753836	421	无极道盔+1
10753845	428	无极道石+1
10753834	385	玄天+1
10753844	427	无极道靴+1
10753833	368	凤天魔甲+1
10753841	424	无极道戒+2
10752716	422	无极道链+2
10752720	424	无极道戒+2
1073744683	470	火龙战链+1
1073744684	470	火龙战链+1
1073744685	372	战神项链+1
1073745505	423	武林盟主·贪狼甲+2
1073745514	425	武林盟主·贪狼盔+3
1073745501	399	武林盟主·破军甲+2
13075317	171	死神手套+3
13075320	195	珊瑚戒指+5
13075315	139	道士头盔+4
1073745509	428	武林盟主·贪狼戒+5
1073745510	428	武林盟主·贪狼戒+5
1073745503	411	武林盟主·七杀甲+5
13075319	195	珊瑚戒指+1
1073745517	435	天龙战甲+3
1073745521	471	火龙战甲+1
1073745523	447	天龙法甲+4
1073745533	443	天龙战靴+5
1073745526	435	天龙战甲+4
1073745529	439	天龙战镯+1
1073745530	440	天龙战戒+1
1073745531	440	天龙战戒+5
1073745532	442	天龙战带+5
1073745545	437	天龙战盔+5
1073745536	447	天龙法甲+5
1073745537	449	天龙法盔+4
1073745540	451	天龙法镯+2
1073745541	452	天龙法戒+5
1073745542	452	天龙法戒+5
1073745544	455	天龙法靴+5
1073745546	454	天龙法带+5
1073745548	459	天龙道甲+4
1073745549	461	天龙道盔+3
1073745552	463	天龙道镯+3
1073745553	464	天龙道戒+4
1073745557	467	天龙道靴+3
1073745556	466	天龙道带+2
1073745554	464	天龙道戒+2
1073745559	399	武林盟主·破军甲+3
1073745560	401	武林盟主·破军盔+5
1073745563	403	武林盟主·破军镯+4
1073745564	404	武林盟主·破军戒+1
1073745562	403	武林盟主·破军镯+5
1073745565	404	武林盟主·破军戒+3
1073745567	406	武林盟主·破军带+2
1073745568	407	武林盟主·破军靴+5
1073745570	471	火龙战甲+4
1073745571	473	火龙战盔+5
1073745573	475	火龙战镯+1
1073745575	476	火龙战戒+5
1073745576	476	火龙战戒+5
1073745578	479	火龙战靴+2
1073745577	478	火龙战带+2
1073745581	473	火龙战盔+4
1073745589	479	火龙战靴+2
1073745591	483	火龙法甲+2
1073745593	495	火龙道甲+2
1073745601	503	火龙道靴+4
1073745602	502	火龙道带+1
1073745599	500	火龙道戒+2
1073745598	500	火龙道戒+4
1073745596	499	火龙道镯+3
1073745608	488	火龙法戒+2
1073745607	488	火龙法戒+4
1073745606	487	火龙法镯+2
1073745603	485	火龙法盔+4
1073745610	490	火龙法带+1
1073745609	491	火龙法靴+5
1073745597	499	火龙道镯+1
1073745641	473	火龙战盔+1
1073745643	475	火龙战镯+2
1073745646	476	火龙战戒+1
1073745648	478	火龙战带+3
1073745649	479	火龙战靴+5
13075643	112	布衣(男)+2
13075652	112	布衣(男)+3
1073745650	471	火龙战甲☆
1073745594	497	火龙道盔☆
1073745645	476	火龙战戒☆
1073745658	413	乾坤法盔☆
1073745656	410	乾坤法剑☆
1073745659	414	乾坤法链☆
1073745666	411	乾坤法甲　
1073745665	411	乾坤法甲　
1073745661	416	乾坤法戒　
1073745660	415	乾坤法镯　
1073745667	411	乾坤法甲　
1073745663	411	乾坤法甲　
1073745657	411	乾坤法甲　
1073745664	411	乾坤法甲　
1073745662	411	乾坤法甲　
1073745678	399	天地战甲　
1073745677	399	天地战甲　
1073745676	399	天地战甲　
1073745675	399	天地战甲　
1073745674	399	天地战甲　
1073745673	399	天地战甲　
1073745672	399	天地战甲　
1073745671	399	天地战甲　
1073745670	399	天地战甲　
1073745669	399	天地战甲　
1073745708	399	天地战甲　
1073745707	399	天地战甲　
1073745706	399	天地战甲　
1073745705	399	天地战甲　
1073745704	399	天地战甲　
1073745703	399	天地战甲　
1073745702	399	天地战甲　
1073745701	399	天地战甲　
1073745700	399	天地战甲　
1073745699	399	天地战甲　
1073745698	399	天地战甲　
1073745697	399	天地战甲　
1073745696	399	天地战甲　
1073745695	399	天地战甲　
1073745694	399	天地战甲　
1073745693	399	天地战甲　
1073745692	399	天地战甲　
1073745691	399	天地战甲　
1073745690	399	天地战甲　
1073745689	399	天地战甲　
1073745688	399	天地战甲　
1073745687	399	天地战甲　
1073745686	399	天地战甲　
1073745685	399	天地战甲　
1073745683	399	天地战甲　
1073745682	399	天地战甲　
1073745681	399	天地战甲　
1073745680	399	天地战甲　
1073745679	399	天地战甲　
1073745684	399	天地战甲　
1073745718	399	天地战甲　
1073745717	399	天地战甲　
1073745716	399	天地战甲　
1073745713	399	天地战甲　
1073745712	399	天地战甲　
1073745710	399	天地战甲　
1073745709	399	天地战甲　
1073745711	399	天地战甲　
1073745723	399	天地战甲　
1073745721	399	天地战甲　
1073745720	399	天地战甲　
1073745719	399	天地战甲　
1073745733	398	天地战剑　
1073745732	407	天地战靴　
1073745731	406	天地战带　
1073745730	405	天地战章　
1073745729	403	乾坤法镯　
1073745728	404	乾坤法戒　
1073745734	398	天地战剑　
1073745736	398	天地战剑　
1073745765	398	天地战剑　
1073745764	398	天地战剑　
1073745763	398	天地战剑　
1073745762	398	天地战剑　
1073745761	398	天地战剑　
