1,10000,主城传送石,3#1,0,100,1,1,1,0,1,0#0,1,1#1,0
2,10001,随机传送石,3#1,0,100,1,2,1,0,2,0#0,2,1#1,0
3,10002,坐标记录石,3#1,0,100,1,3,1,0,0,0#0,0,0#0,0
4,10008,红名清洗卷,3#1,0,10000,1,4,1,0,9,0#0,9,1#1,0
5,10006,沃玛号角,3#1,0,100000,1,5,1,0,0,0#0,0,1#1,0
6,10054,改名卡,7,0,1680,1,6,1,0,0,0#0,0,0#0,0
7,10516,喊话喇叭,7,0,40,1,7,1,0,0,0#0,200,0#0,0
8,10011,修复神水,3#1,0,100,1,8,1,0,0,0#0,0,0#0,371
9,10004,跨服回城石,7#20,50,0,1,9,1,0,0,0#0,0,0#0,0
10,10102,10000元宝,20#7,0,10,2,1,1,1,0,0#0,0,0#0,883
11,10105,100000元宝,20#7,0,100,2,2,1,1,0,0#0,0,0#0,883
12,10106,50万元宝,20#7,0,500,2,3,1,1,0,0#0,0,0#0,883
13,10107,100万元宝,20#7,0,1000,2,4,1,1,0,0#0,0,0#0,883
14,10118,金条,1,0,1000000,2,5,1,0,0,0#0,0,0#0,0
15,10119,金砖,1,0,5000000,2,6,1,0,0,0#0,0,0#0,0
16,10120,金盒,1,0,10000000,2,7,1,0,0,0#0,0,0#0,0
17,10121,金箱,1,0,50000000,2,8,1,0,0,0#0,0,0#0,0
