1,生命,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,攻击下限,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,攻击上限,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,魔法下限,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,魔法上限,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,道术下限,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,道术上限,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9,防御下限,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,防御上限,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,魔防下限,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,魔防上限,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,准确,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,敏捷,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
39,幸运,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
