记路标石	1158353	0	3	550	375
记路标石	1158353	1	3	550	375
记路标石	1158353	2	3	550	375
记路标石	12395415	0	神墓入口	34	16
记路标石	31223	0	铁炉堡	93	76
记路标石	4204416	0	遗忘沼泽	30	35
记路标石	4204416	1	异度空间	98	28
记路标石	4204416	2	天水迷城	48	49
记路标石	4204416	3	仙灵岛	45	68
记路标石	5699	0	九重地狱	57	11
记路标石	5699	1	玛法之城	114	61
记路标石	5975659	0	潘夜洞穴	28	33
记路标石	5975659	1	埃及世界	90	66
记路标石	5975659	2	廷达罗斯城	49	43
记路标石	6461280	0	神墓入口	25	24
记路标石	6461280	1	锁妖塔	119	12
记路标石	6461280	2	九柱神殿	26	36
记路标石	6461280	3	避世之地	55	57
记路标石	6461280	4	北落师门星	123	55
记路标石	6461280	5	阿斯加德	137	177
记路标石	8593621	0	山野废墟	80	76
记路标石	8593621	1	劳·拉那山	14	19
记路标石	8593621	2	十三重天	35	51
记路标石	8593621	3	天水迷城	28	30
记路标石	8593621	4	冥之界	37	33
记路标石	8593621	5	犹格斯	7	49
记路标石	8593622	0	山野废墟	80	76
记路标石	8593622	1	劳·拉那山	14	19
记路标石	8593622	2	十三重天	35	51
记路标石	8593622	3	梦幻之地	60	61
记路标石	8593622	4	卡纳克神庙	32	27
记路标石	8593622	5	混沌王庭	14	35
